run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA
140	61.0	51.0	50.0	56.75	5.62395	5.292199999999999	0.025	-0.025	5	5	0	0.0	0.5	1.5	True	3.0	2.0	False
397	63.0	52.0	48.0	55.05	5.48725	5.1735	0.025	-0.025	5	5	0	0.0	0.9	1.5	False	2.0	2.0	True
10219	58.0	46.0	44.0	52.5	7.5798000000000005	6.3911999999999995	0.02	-0.02	10	10	1	0.9	0.8	1.5	True	3.0	1.0	True
16118	65.0	47.0	45.0	51.34	4.5897	4.70045	0.015	-0.015	5	5	1	0.5	0.5	1.5	True	2.0	3.0	False
18367	53.0	47.0	43.0	48.57	5.2477	5.22725	0.015	-0.015	25	25	0	0.0	0.8	1.0	True	1.0	3.0	True
26198	50.0	48.0	45.0	48.03	5.66165	5.2953	0.01	-0.01	25	25	0	0.0	0.8	1.5	True	2.0	3.0	False
10879	55.0	46.0	44.0	47.58	4.4772	5.0133	0.02	-0.02	25	25	1	0.5	0.5	1.0	True	1.0	3.0	True
1223	54.0	46.0	43.0	46.7	4.57855	4.3002	0.025	-0.025	5	5	1	0.9	0.9	1.0	False	3.0	3.0	True
1864	47.0	43.0	41.0	46.44	6.722799999999999	5.73175	0.025	-0.025	10	10	1	0.5	0.5	1.5	True	3.0	0.5	False
10741	50.0	46.0	39.0	46.28	5.442349999999999	5.2066	0.02	-0.02	25	25	0	0.0	0.9	1.0	True	2.0	2.0	True
19230	47.0	43.0	42.0	45.99	4.9752	4.99575	0.015	-0.015	25	25	1	0.9	0.8	1.0	True	1.0	3.0	False
10051	48.0	48.0	43.0	45.65	10.47205	7.335800000000001	0.02	-0.02	10	10	1	0.9	0.5	1.5	False	3.0	1.0	True
24671	48.0	42.0	37.0	44.56	5.2989	5.256600000000001	0.01	-0.01	10	10	0	0.0	0.5	0.5	True	3.0	3.0	True
12518	44.0	40.0	40.0	44.49	5.82435	5.2817	0.02	-0.02	50	50	1	0.5	0.9	1.5	True	2.0	3.0	False
7905	50.0	41.0	41.0	44.4	5.11145	5.2162	0.02	-0.02	5	5	0	0.0	0.5	1.5	True	2.0	0.5	True
7950	45.0	41.0	39.0	43.74	5.1985	5.2911	0.02	-0.02	5	5	0	0.0	0.8	0.5	True	1.0	3.0	False
24687	53.0	42.0	37.0	43.56	5.2652	5.2366	0.01	-0.01	10	10	0	0.0	0.5	1.0	False	2.0	3.0	True
25902	50.0	42.0	40.0	43.5	3.58365	4.01145	0.01	-0.01	10	10	1	0.9	0.9	1.5	True	1.0	3.0	False
17981	44.0	40.0	36.0	43.44	2.8402000000000003	3.4633499999999997	0.015	-0.015	10	10	1	0.9	0.8	1.5	True	1.0	2.0	True
11943	49.0	42.0	40.0	43.13	5.65765	5.2344	0.02	-0.02	50	50	0	0.0	0.8	1.5	True	2.0	3.0	True
112	43.0	39.0	38.0	42.41	5.96155	5.2735	0.025	-0.025	5	5	0	0.0	0.5	1.5	False	3.0	0.5	False
19259	46.0	41.0	40.0	42.26	5.451700000000001	5.2308	0.015	-0.015	25	25	1	0.9	0.8	1.5	False	2.0	1.0	True
12189	39.0	37.0	35.0	42.21	5.52805	5.22095	0.02	-0.02	50	50	1	0.5	0.5	1.0	True	3.0	2.0	True
10193	47.0	40.0	39.0	41.88	9.41	7.20895	0.02	-0.02	10	10	1	0.9	0.8	1.5	False	3.0	0.5	True
16206	43.0	39.0	38.0	41.7	3.3539000000000003	3.8644	0.015	-0.015	5	5	1	0.5	0.8	1.0	True	1.0	3.0	False
20567	41.0	40.0	37.0	41.15	5.77365	5.2783999999999995	0.015	-0.015	50	50	1	0.9	0.8	1.5	False	3.0	3.0	True
19037	51.0	42.0	40.0	41.12	4.39975	4.94055	0.015	-0.015	25	25	1	0.9	0.5	0.5	True	1.0	2.0	True
24238	43.0	37.0	37.0	41.11	4.32765	4.57335	0.01	-0.01	5	5	1	0.9	0.5	0.5	True	3.0	3.0	False
19408	46.0	40.0	37.0	41.04	5.78405	5.36665	0.015	-0.015	25	25	1	0.9	0.9	1.5	False	3.0	0.5	False
52	50.0	40.0	37.0	40.54	4.85065	5.3363	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	2.0	False
19022	47.0	41.0	37.0	39.98	5.28495	5.18405	0.015	-0.015	25	25	1	0.9	0.5	0.5	False	2.0	3.0	False
19059	49.0	43.0	36.0	39.95	4.55065	4.9841999999999995	0.015	-0.015	25	25	1	0.9	0.5	1.0	False	1.0	1.0	True
24875	46.0	39.0	37.0	39.82	5.46375	5.2664	0.01	-0.01	10	10	0	0.0	0.8	1.5	False	2.0	1.0	True
26399	43.0	38.0	35.0	39.81	5.16395	5.1861	0.01	-0.01	25	25	1	0.5	0.5	0.5	True	3.0	3.0	True
26563	40.0	37.0	35.0	39.29	5.5009999999999994	5.2768500000000005	0.01	-0.01	25	25	1	0.5	0.8	1.0	False	3.0	1.0	True
4933	43.0	38.0	37.0	39.15	5.7508	5.2863	0.025	-0.025	50	50	1	0.9	0.8	0.5	True	2.0	2.0	True
4414	42.0	37.0	33.0	38.96	5.8673	5.2893	0.025	-0.025	50	50	1	0.5	0.5	1.0	True	3.0	3.0	False
1936	48.0	37.0	35.0	38.74	6.16145	5.5737499999999995	0.025	-0.025	10	10	1	0.5	0.8	1.0	False	3.0	0.5	False
25579	42.0	37.0	35.0	38.02	5.5907	5.3113	0.01	-0.01	10	10	1	0.9	0.5	1.0	True	3.0	1.0	True
1884	44.0	35.0	35.0	37.92	4.1485	4.44865	0.025	-0.025	10	10	1	0.5	0.8	0.5	False	2.0	2.0	False
27468	41.0	35.0	32.0	37.57	5.7795499999999995	5.307650000000001	0.01	-0.01	50	50	0	0.0	0.8	1.5	False	2.0	2.0	False
10658	42.0	37.0	34.0	37.49	5.56325	5.2780000000000005	0.02	-0.02	25	25	0	0.0	0.9	0.5	False	1.0	1.0	False
19470	43.0	37.0	34.0	37.36	5.6937	5.33975	0.015	-0.015	50	50	0	0.0	0.5	0.5	True	1.0	3.0	False
12163	41.0	35.0	35.0	36.86	5.71375	5.29235	0.02	-0.02	50	50	1	0.5	0.5	1.0	False	3.0	1.0	True
28301	42.0	33.0	33.0	36.83	5.6326	5.27175	0.01	-0.01	50	50	1	0.9	0.8	1.0	True	1.0	2.0	True
18596	40.0	35.0	32.0	36.77	5.74955	5.344250000000001	0.015	-0.015	25	25	1	0.5	0.5	0.5	False	3.0	2.0	False
18122	40.0	34.0	31.0	36.56	3.1385	3.6616500000000003	0.015	-0.015	10	10	1	0.9	0.9	1.5	True	1.0	1.0	False
1769	40.0	35.0	33.0	36.44	4.72355	4.91715	0.025	-0.025	10	10	1	0.5	0.5	0.5	True	3.0	0.5	True
28291	44.0	37.0	35.0	36.31	5.6785499999999995	5.2905500000000005	0.01	-0.01	50	50	1	0.9	0.8	1.0	False	3.0	1.0	True
17475	38.0	34.0	32.0	36.19	3.4158999999999997	4.0663	0.015	-0.015	10	10	1	0.5	0.8	1.0	False	1.0	1.0	True
9365	39.0	33.0	32.0	35.79	5.28115	5.2511	0.02	-0.02	10	10	0	0.0	0.9	0.5	False	1.0	2.0	True
17026	41.0	34.0	34.0	35.78	5.5988500000000005	5.33195	0.015	-0.015	10	10	0	0.0	0.8	0.5	True	2.0	1.0	False
23544	41.0	36.0	34.0	35.77	5.6667000000000005	5.34805	0.01	-0.01	5	5	0	0.0	0.8	1.0	True	1.0	0.5	False
4810	36.0	34.0	33.0	35.37	5.96205	5.3796	0.025	-0.025	50	50	1	0.9	0.5	1.0	False	2.0	1.0	False
24817	45.0	34.0	34.0	34.68	5.29	5.2275	0.01	-0.01	10	10	0	0.0	0.8	1.0	False	1.0	0.5	True
28449	41.0	33.0	32.0	33.67	5.5840000000000005	5.28865	0.01	-0.01	50	50	1	0.9	0.9	1.0	True	2.0	0.5	True
13296	38.0	32.0	30.0	33.6	5.9122	5.3763	0.02	-0.02	100	100	0	0.0	0.9	1.0	False	1.0	0.5	False
25104	37.0	34.0	30.0	33.52	4.239	4.5997	0.01	-0.01	10	10	1	0.5	0.5	1.0	False	1.0	0.5	False
27592	39.0	34.0	31.0	33.29	5.79125	5.31845	0.01	-0.01	50	50	0	0.0	0.9	1.0	True	3.0	0.5	False
27696	35.0	32.0	30.0	32.83	5.72785	5.3258	0.01	-0.01	50	50	1	0.5	0.5	1.0	False	1.0	0.5	False
6792	33.0	32.0	28.0	32.4	5.85145	5.31305	0.025	-0.025	200	200	0	0.0	0.9	0.5	True	1.0	0.5	False
4512	37.0	34.0	30.0	32.06	5.8116	5.3183	0.025	-0.025	50	50	1	0.5	0.8	1.0	False	1.0	0.5	False
26793	32.0	32.0	29.0	31.59	5.358700000000001	5.2105	0.01	-0.01	25	25	1	0.9	0.5	0.5	False	2.0	0.5	True
13387	38.0	28.0	27.0	30.41	5.8875	5.2768999999999995	0.02	-0.02	100	100	0	0.0	0.9	1.5	True	3.0	1.0	True
6091	34.0	29.0	29.0	30.01	5.8497	5.364	0.025	-0.025	100	100	1	0.9	0.5	0.5	True	3.0	1.0	True
29732	34.0	30.0	27.0	29.94	6.0335	5.3843000000000005	0.01	-0.01	100	100	1	0.9	0.9	1.0	False	3.0	2.0	False
13910	31.0	27.0	25.0	29.56	6.2722	5.396800000000001	0.02	-0.02	100	100	1	0.9	0.5	1.0	True	2.0	3.0	False
28998	33.0	28.0	25.0	28.99	5.981450000000001	5.38765	0.01	-0.01	100	100	1	0.5	0.5	1.0	False	1.0	3.0	False
21652	32.0	27.0	25.0	28.12	6.36515	5.4697499999999994	0.015	-0.015	100	100	1	0.9	0.5	1.0	False	1.0	2.0	False
21578	36.0	30.0	24.0	27.89	6.05415	5.3902	0.015	-0.015	100	100	1	0.5	0.9	1.5	True	1.0	1.0	False
5827	33.0	24.0	24.0	27.29	5.9657	5.3112	0.025	-0.025	100	100	1	0.5	0.8	1.0	False	3.0	1.0	True
15051	30.0	26.0	24.0	27.16	6.0993	5.3235	0.02	-0.02	200	200	1	0.5	0.9	1.0	True	1.0	1.0	True
30225	32.0	27.0	25.0	26.86	5.6009	5.2702	0.01	-0.01	200	200	0	0.0	0.9	1.5	True	2.0	0.5	True
22070	27.0	26.0	22.0	25.28	6.5359	5.3305	0.015	-0.015	200	200	0	0.0	0.5	0.5	True	2.0	3.0	False
15329	28.0	24.0	22.0	25.17	5.7959000000000005	5.29275	0.02	-0.02	200	200	1	0.9	0.8	1.0	False	3.0	0.5	True
30664	27.0	24.0	22.0	24.69	6.02135	5.37575	0.01	-0.01	200	200	1	0.5	0.9	1.5	True	3.0	0.5	False
7568	29.0	26.0	24.0	24.69	6.20965	5.42115	0.025	-0.025	200	200	1	0.9	0.8	1.0	True	2.0	0.5	False
21236	29.0	28.0	23.0	24.6	6.0599	5.3696	0.015	-0.015	100	100	1	0.5	0.5	1.0	False	3.0	2.0	False
22927	26.0	25.0	22.0	24.27	6.5649500000000005	5.423299999999999	0.015	-0.015	200	200	1	0.9	0.5	0.5	True	1.0	3.0	True
14574	27.0	25.0	21.0	23.82	7.1397	5.3534999999999995	0.02	-0.02	200	200	0	0.0	0.9	0.5	True	1.0	3.0	False
13636	26.0	21.0	20.0	23.55	6.3209	5.3644	0.02	-0.02	100	100	1	0.5	0.8	1.5	False	1.0	2.0	False
5253	30.0	26.0	21.0	23.55	5.98785	5.27835	0.025	-0.025	100	100	0	0.0	0.5	1.0	False	3.0	2.0	True
31071	24.0	21.0	19.0	22.31	5.8642	5.1861	0.01	-0.01	200	200	1	0.9	0.9	1.5	False	2.0	3.0	True
15054	27.0	20.0	17.0	21.78	6.43985	5.226850000000001	0.02	-0.02	200	200	1	0.5	0.9	1.0	True	1.0	3.0	False
14862	25.0	22.0	18.0	21.37	6.7861	5.3966	0.02	-0.02	200	200	1	0.5	0.8	0.5	True	1.0	3.0	False
7192	26.0	19.0	17.0	21.26	6.24375	5.35105	0.025	-0.025	200	200	1	0.5	0.8	1.5	True	3.0	0.5	False
14366	23.0	18.0	18.0	20.57	6.8035	5.34145	0.02	-0.02	200	200	0	0.0	0.5	1.5	False	2.0	3.0	False
14638	21.0	18.0	16.0	19.6	7.5112	5.3335	0.02	-0.02	200	200	0	0.0	0.9	1.0	True	3.0	3.0	False
14988	21.0	19.0	16.0	19.54	6.3828000000000005	5.2456499999999995	0.02	-0.02	200	200	1	0.5	0.9	0.5	False	2.0	2.0	False
6790	21.0	16.0	15.0	17.64	7.4083	5.3473999999999995	0.025	-0.025	200	200	0	0.0	0.9	0.5	False	3.0	3.0	False
