run_id	max_median_s21	max_median_s51	max_median_s101	max_average_s100	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
446	150.0	141.0	120.0	133.7	6.2768625	5.5029375	0.005	-0.005	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.0	1.2
452	155.0	143.0	125.0	132.47	6.28115	5.508100000000001	0.005	-0.005	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	1.5	1.2
1097	151.0	127.0	118.0	125.65	6.302375	5.577225	0.001	-0.001	1	0.8	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.5	1.2
1087	146.0	130.0	114.0	125.63	6.2954625	5.6000749999999995	0.001	-0.001	1	0.8	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.5	1.0
1298	151.0	116.0	111.0	125.0	6.18455	5.518175	0.0005	-0.0005	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	1.5	1.2
551	131.0	117.0	113.0	124.52	7.071825	5.83335	0.005	-0.005	1	0.5	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	1.5	1.2
562	162.0	140.0	113.0	124.46	7.6090125	6.123725	0.005	-0.005	1	0.5	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.0	1.0
1362	131.0	114.0	112.0	120.69	6.9195875000000004	5.516225	0.0005	-0.0005	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	2.0	0.7
553	130.0	123.0	110.0	119.6	7.9227875	6.3054250000000005	0.005	-0.005	1	0.5	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.0	1.0
1515	145.0	126.0	112.0	118.29	6.198675	5.5357875	0.0005	-0.0005	1	0.8	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.0	0.7
1266	134.0	127.0	110.0	117.36	7.225675	5.7056249999999995	0.001	-0.001	1	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	1.0	2.5	0.7
1024	129.0	110.0	105.0	117.35	7.1831875	5.5955875	0.001	-0.001	1	0.5	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.5	1.0
1302	142.0	116.0	109.0	115.97	6.1625125	5.5223125	0.0005	-0.0005	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.5	0.7
1228	124.0	110.0	108.0	115.85	7.301875	5.684525	0.001	-0.001	1	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	2.0	1.0
895	153.0	117.0	102.0	115.78	7.0901250000000005	5.530025	0.001	-0.001	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.0	1.0
1321	135.0	118.0	115.0	115.57	6.1785625	5.5164875	0.0005	-0.0005	0	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	1.0	2.5	1.0
1611	128.0	109.0	105.0	115.53	7.2000625	5.7226625	0.0005	-0.0005	1	0.8	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	1.5	0.7
118	131.0	111.0	101.0	114.71	9.3282375	6.637762499999999	0.01	-0.01	1	0.5	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	1.5	1.0
218	138.0	120.0	107.0	114.52	8.7637125	6.3822125	0.01	-0.01	1	0.8	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	1.5	1.2
923	154.0	120.0	108.0	114.41	6.9154875	5.5151125	0.001	-0.001	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.0	1.2
1111	127.0	107.0	102.0	114.22	7.234824999999999	5.6418875	0.001	-0.001	1	0.8	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.0	1.0
52	132.0	110.0	98.0	113.79	7.9394125	5.5546	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.5	1.0
1493	123.0	107.0	103.0	113.59	7.138612500000001	5.716775	0.0005	-0.0005	1	0.5	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.8	2.5	1.2
502	137.0	111.0	102.0	112.97	7.445062500000001	5.5230375	0.005	-0.005	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	2.5	1.0
1009	121.0	107.0	97.0	111.97	7.073837500000001	5.5686124999999995	0.001	-0.001	1	0.5	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	1.5	1.0
898	127.0	107.0	103.0	111.53	7.026187500000001	5.532525	0.001	-0.001	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.5	1.0
339	139.0	114.0	99.0	110.69	12.2581875	9.0152625	0.01	-0.01	1	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.5	0.7
604	126.0	110.0	94.0	110.61	8.1651375	5.81485	0.005	-0.005	1	0.5	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	1.5	1.0
760	113.0	110.0	101.0	109.88	10.3385	7.583762500000001	0.005	-0.005	1	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.0	1.0
682	125.0	104.0	101.0	109.8	9.738825	7.069987500000001	0.005	-0.005	1	0.8	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.5	1.0
1548	131.0	110.0	106.0	109.6	7.014875000000001	5.56655	0.0005	-0.0005	1	0.8	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	1.5	0.7
45	118.0	107.0	93.0	109.52	8.0321125	5.5692875	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	1.5	0.7
78	120.0	112.0	96.0	109.15	7.6243875	5.5201125	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	1.0	2.5	0.7
749	147.0	101.0	96.0	107.88	7.9233375	5.8941625	0.005	-0.005	1	0.8	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	1.5	1.2
853	146.0	98.0	94.0	107.71	10.321250000000001	7.996250000000001	0.005	-0.005	1	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.5	1.0
956	132.0	101.0	98.0	107.11	7.242587500000001	5.6819625	0.001	-0.001	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	1.5	1.2
186	126.0	99.0	97.0	106.74	11.172525	8.458	0.01	-0.01	1	0.5	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	1.0	2.5	0.7
577	115.0	105.0	95.0	106.44	8.328700000000001	5.852725	0.005	-0.005	1	0.5	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	1.5	1.0
489	110.0	104.0	92.0	105.05	7.6183875	5.5440249999999995	0.005	-0.005	0	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	2.0	0.7
1287	125.0	111.0	100.0	104.88	7.36095	5.7630375	0.001	-0.001	1	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	1.5	0.7
173	110.0	103.0	87.0	103.52	9.1473875	6.4163	0.01	-0.01	1	0.5	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	1.5	1.2
810	116.0	98.0	91.0	102.52	9.9477875	7.2881625	0.005	-0.005	1	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.8	1.5	0.7
679	112.0	104.0	97.0	102.11	9.63495	7.0187375	0.005	-0.005	1	0.8	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.0	1.0
745	123.0	107.0	91.0	101.92	10.0392625	7.5914375000000005	0.005	-0.005	1	0.8	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.5	1.0
232	116.0	109.0	94.0	100.76	12.06605	8.685012500000001	0.01	-0.01	1	0.8	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.9	2.5	1.0
328	120.0	114.0	93.0	98.55	12.600137499999999	8.68605	0.01	-0.01	1	1.0	results/hpsearch-2022-01-11/best/1_run_2371/synWeights_final.pkl	9593185	0.8	2.0	1.0
283	121.0	98.0	85.0	98.55	10.993025	8.3614125	0.01	-0.01	1	0.8	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	2.0	1.0
686	99.0	94.0	88.0	98.1	7.906462500000001	5.797225	0.005	-0.005	1	0.8	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.9	1.5	1.2
355	101.0	92.0	88.0	96.57	11.1589875	8.32715	0.01	-0.01	1	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.0	1.0
394	120.0	96.0	87.0	96.17	11.508387500000001	9.038712499999999	0.01	-0.01	1	1.0	results/hpsearch-2022-01-11/best/3_run_2329/synWeights_final.pkl	2542033	0.9	2.5	1.0
264	114.0	96.0	86.0	94.6	11.01075	8.721625	0.01	-0.01	1	0.8	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	1.0	2.0	0.7
790	117.0	88.0	83.0	93.64	11.0131625	8.115975	0.005	-0.005	1	1.0	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.5	1.0
195	104.0	89.0	86.0	93.43	12.355450000000001	8.75385	0.01	-0.01	1	0.5	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.8	2.5	0.7
427	122.0	91.0	85.0	92.14	10.4735375	8.3200625	0.01	-0.01	1	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	2.0	1.0
249	98.0	89.0	83.0	90.75	12.523787500000001	8.961375	0.01	-0.01	1	0.8	results/hpsearch-2022-01-11/best/2_run_2475/synWeights_final.pkl	2542033	0.8	2.5	0.7
415	107.0	94.0	80.0	84.97	9.7005	7.6302875	0.01	-0.01	1	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	1.5	1.0
